dr,time,weather,temp,w_spid,p
30декабрь2020,00:00,ясно,-12°,1 м/с,767
30декабрь2020,03:00,ясно,-15°,"<td><span class=""p"">766</span><span>мм рт.ст.</span></td>",766
30декабрь2020,06:00,ясно,-16°,"<td><span class=""p"">765</span><span>мм рт.ст.</span></td>",765
30декабрь2020,09:00,пасмурно,-16°,1 м/с,763
30декабрь2020,12:00,пасмурно,-13°,1 м/с,761
30декабрь2020,15:00,пасмурно,-11°,2 м/с,758
30декабрь2020,18:00,пасмурно,-8°,2 м/с,754
30декабрь2020,21:00,пасмурно,-5°,5 м/с,750
30декабрь2020,24:00,пасмурно,-6°,2 м/с,746
29декабрь2020,00:00,пасмурно,-7°,1 м/с,762
29декабрь2020,03:00,пасмурно,-6°,2 м/с,763
29декабрь2020,06:00,пасмурно,-5°,1 м/с,764
29декабрь2020,09:00,пасмурно,-5°,1 м/с,765
29декабрь2020,12:00,пасмурно,-5°,2 м/с,766
29декабрь2020,15:00,пасмурно,-7°,2 м/с,766
29декабрь2020,18:00,пасмурно,-9°,2 м/с,767
29декабрь2020,21:00,ясно,-11°,1 м/с,767
29декабрь2020,24:00,ясно,-12°,1 м/с,767
28декабрь2020,00:00,ясно,-11°,1 м/с,753
28декабрь2020,03:00,ясно,-12°,2 м/с,754
28декабрь2020,06:00,ясно,-12°,2 м/с,754
28декабрь2020,09:00,малооблачно,-12°,1 м/с,755
28декабрь2020,12:00,малооблачно,-10°,2 м/с,756
28декабрь2020,15:00,малооблачно,-9°,3 м/с,758
28декабрь2020,18:00,пасмурно,-9°,3 м/с,759
28декабрь2020,21:00,пасмурно,-8°,1 м/с,761
28декабрь2020,24:00,пасмурно,-7°,1 м/с,762
27декабрь2020,00:00,облачно,-9°,"<td><span class=""p"">753</span><span>мм рт.ст.</span></td>",753
27декабрь2020,03:00,ясно,-10°,"<td><span class=""p"">753</span><span>мм рт.ст.</span></td>",753
27декабрь2020,06:00,ясно,-11°,"<td><span class=""p"">752</span><span>мм рт.ст.</span></td>",752
27декабрь2020,09:00,ясно,-11°,"<td><span class=""p"">752</span><span>мм рт.ст.</span></td>",752
27декабрь2020,12:00,ясно,-8°,1 м/с,751
27декабрь2020,15:00,ясно,-8°,1 м/с,751
27декабрь2020,18:00,ясно,-9°,1 м/с,752
27декабрь2020,21:00,ясно,-11°,1 м/с,752
27декабрь2020,24:00,ясно,-11°,1 м/с,753
26декабрь2020,00:00,ясно,-11°,"<td><span class=""p"">757</span><span>мм рт.ст.</span></td>",757
26декабрь2020,03:00,малооблачно,-11°,1 м/с,757
26декабрь2020,06:00,ясно,-11°,2 м/с,756
26декабрь2020,09:00,малооблачно,-11°,1 м/с,756
26декабрь2020,12:00,малооблачно,-8°,1 м/с,755
26декабрь2020,15:00,малооблачно,-8°,1 м/с,755
26декабрь2020,18:00,малооблачно,-9°,1 м/с,754
26декабрь2020,21:00,облачно,-10°,1 м/с,754
26декабрь2020,24:00,облачно,-9°,"<td><span class=""p"">753</span><span>мм рт.ст.</span></td>",753
25декабрь2020,00:00,пасмурно,-5°,2 м/с,758
25декабрь2020,03:00,пасмурно,-6°,2 м/с,758
25декабрь2020,06:00,пасмурно,-8°,2 м/с,758
25декабрь2020,09:00,пасмурно,-9°,2 м/с,759
25декабрь2020,12:00,малооблачно,-8°,2 м/с,759
25декабрь2020,15:00,малооблачно,-9°,1 м/с,758
25декабрь2020,18:00,малооблачно,-10°,1 м/с,758
25декабрь2020,21:00,ясно,-11°,1 м/с,758
25декабрь2020,24:00,ясно,-11°,"<td><span class=""p"">757</span><span>мм рт.ст.</span></td>",757
24декабрь2020,00:00,малооблачно,-3°,2 м/с,758
24декабрь2020,03:00,пасмурно,-2°,1 м/с,758
24декабрь2020,06:00,малооблачно,-4°,2 м/с,757
24декабрь2020,09:00,пасмурно,-5°,2 м/с,758
24декабрь2020,12:00,пасмурно,-4°,2 м/с,758
24декабрь2020,15:00,пасмурно,-4°,2 м/с,758
24декабрь2020,18:00,пасмурно,-5°,2 м/с,758
24декабрь2020,21:00,пасмурно,-5°,2 м/с,758
24декабрь2020,24:00,пасмурно,-5°,2 м/с,758
23декабрь2020,00:00,пасмурно,-3°,1 м/с,758
23декабрь2020,03:00,пасмурно,-4°,1 м/с,758
23декабрь2020,06:00,пасмурно,-3°,2 м/с,758
23декабрь2020,09:00,пасмурно,-3°,1 м/с,758
23декабрь2020,12:00,пасмурно,-1°,2 м/с,757
23декабрь2020,15:00,пасмурно,-1°,2 м/с,758
23декабрь2020,18:00,пасмурно,-1°,3 м/с,758
23декабрь2020,21:00,пасмурно,-2°,2 м/с,758
23декабрь2020,24:00,малооблачно,-3°,2 м/с,758
22декабрь2020,00:00,пасмурно,-5°,1 м/с,760
22декабрь2020,03:00,пасмурно,-5°,1 м/с,760
22декабрь2020,06:00,пасмурно,-5°,3 м/с,760
22декабрь2020,09:00,пасмурно,-5°,2 м/с,759
22декабрь2020,12:00,пасмурно,-4°,3 м/с,759
22декабрь2020,15:00,малооблачно,-4°,2 м/с,759
22декабрь2020,18:00,малооблачно,-4°,2 м/с,758
22декабрь2020,21:00,пасмурно,-4°,2 м/с,758
22декабрь2020,24:00,пасмурно,-3°,1 м/с,758
21декабрь2020,00:00,пасмурно,-2°,3 м/с,753
21декабрь2020,03:00,пасмурно,-3°,2 м/с,755
21декабрь2020,06:00,пасмурно,-3°,2 м/с,756
21декабрь2020,09:00,пасмурно,-3°,3 м/с,758
21декабрь2020,12:00,пасмурно,-3°,2 м/с,759
21декабрь2020,15:00,пасмурно,-3°,2 м/с,759
21декабрь2020,18:00,пасмурно,-4°,"<td><span class=""p"">760</span><span>мм рт.ст.</span></td>",760
21декабрь2020,21:00,пасмурно,-4°,1 м/с,760
21декабрь2020,24:00,пасмурно,-5°,1 м/с,760
20декабрь2020,00:00,пасмурно,+0°,4 м/с,740
20декабрь2020,03:00,пасмурно,-0°,4 м/с,741
20декабрь2020,06:00,пасмурно,-1°,4 м/с,743
20декабрь2020,09:00,пасмурно,-2°,4 м/с,745
20декабрь2020,12:00,пасмурно,-1°,5 м/с,747
20декабрь2020,15:00,пасмурно,-1°,4 м/с,748
20декабрь2020,18:00,пасмурно,-2°,5 м/с,750
20декабрь2020,21:00,пасмурно,-2°,4 м/с,751
20декабрь2020,24:00,пасмурно,-2°,3 м/с,753
19декабрь2020,00:00,пасмурно,-0°,1 м/с,754
19декабрь2020,03:00,пасмурно,-0°,2 м/с,751
19декабрь2020,06:00,пасмурно,-0°,3 м/с,746
19декабрь2020,09:00,пасмурно,+1°,2 м/с,744
19декабрь2020,12:00,пасмурно,+2°,4 м/с,742
19декабрь2020,15:00,пасмурно,+3°,4 м/с,740
19декабрь2020,18:00,пасмурно,+2°,4 м/с,739
19декабрь2020,21:00,пасмурно,+1°,2 м/с,738
19декабрь2020,24:00,пасмурно,+0°,4 м/с,740
18декабрь2020,00:00,пасмурно,+1°,2 м/с,753
18декабрь2020,03:00,пасмурно,+0°,1 м/с,752
18декабрь2020,06:00,пасмурно,+0°,1 м/с,752
18декабрь2020,09:00,пасмурно,+0°,1 м/с,753
18декабрь2020,12:00,пасмурно,+1°,1 м/с,754
18декабрь2020,15:00,пасмурно,+1°,2 м/с,755
18декабрь2020,18:00,пасмурно,+1°,1 м/с,755
18декабрь2020,21:00,пасмурно,+0°,1 м/с,755
18декабрь2020,24:00,пасмурно,-0°,1 м/с,754
17декабрь2020,00:00,пасмурно,-4°,1 м/с,754
17декабрь2020,03:00,пасмурно,-4°,1 м/с,754
17декабрь2020,06:00,пасмурно,-3°,2 м/с,754
17декабрь2020,09:00,пасмурно,-2°,1 м/с,754
17декабрь2020,12:00,пасмурно,-1°,1 м/с,753
17декабрь2020,15:00,пасмурно,-1°,1 м/с,754
17декабрь2020,18:00,пасмурно,-0°,1 м/с,754
17декабрь2020,21:00,пасмурно,-0°,1 м/с,753
17декабрь2020,24:00,пасмурно,+1°,2 м/с,753
16декабрь2020,00:00,ясно,-6°,1 м/с,762
16декабрь2020,03:00,пасмурно,-5°,2 м/с,761
16декабрь2020,06:00,пасмурно,-5°,2 м/с,760
16декабрь2020,09:00,пасмурно,-5°,2 м/с,759
16декабрь2020,12:00,пасмурно,-4°,3 м/с,758
16декабрь2020,15:00,пасмурно,-4°,3 м/с,757
16декабрь2020,18:00,пасмурно,-5°,1 м/с,756
16декабрь2020,21:00,пасмурно,-4°,1 м/с,755
16декабрь2020,24:00,пасмурно,-4°,1 м/с,754
15декабрь2020,00:00,ясно,-10°,2 м/с,766
15декабрь2020,03:00,пасмурно,-9°,2 м/с,766
15декабрь2020,06:00,пасмурно,-8°,2 м/с,765
15декабрь2020,09:00,пасмурно,-7°,2 м/с,765
15декабрь2020,12:00,пасмурно,-5°,2 м/с,764
15декабрь2020,15:00,пасмурно,-5°,2 м/с,764
15декабрь2020,18:00,пасмурно,-5°,2 м/с,763
15декабрь2020,21:00,ясно,-5°,2 м/с,763
15декабрь2020,24:00,ясно,-6°,1 м/с,762
14декабрь2020,00:00,ясно,-9°,1 м/с,764
14декабрь2020,03:00,ясно,-9°,1 м/с,765
14декабрь2020,06:00,ясно,-10°,1 м/с,765
14декабрь2020,09:00,ясно,-11°,1 м/с,765
14декабрь2020,12:00,ясно,-8°,1 м/с,765
14декабрь2020,15:00,малооблачно,-9°,2 м/с,766
14декабрь2020,18:00,малооблачно,-8°,2 м/с,766
14декабрь2020,21:00,малооблачно,-9°,1 м/с,766
14декабрь2020,24:00,ясно,-10°,2 м/с,766
13декабрь2020,00:00,пасмурно,-8°,1 м/с,765
13декабрь2020,03:00,пасмурно,-9°,1 м/с,765
13декабрь2020,06:00,пасмурно,-9°,"<td><span class=""p"">764</span><span>мм рт.ст.</span></td>",764
13декабрь2020,09:00,пасмурно,-9°,1 м/с,764
13декабрь2020,12:00,пасмурно,-8°,1 м/с,764
13декабрь2020,15:00,пасмурно,-8°,2 м/с,764
13декабрь2020,18:00,малооблачно,-8°,1 м/с,764
13декабрь2020,21:00,ясно,-8°,"<td><span class=""p"">764</span><span>мм рт.ст.</span></td>",764
13декабрь2020,24:00,ясно,-9°,1 м/с,764
12декабрь2020,00:00,ясно,-4°,3 м/с,760
12декабрь2020,03:00,пасмурно,-5°,3 м/с,762
12декабрь2020,06:00,пасмурно,-5°,3 м/с,763
12декабрь2020,09:00,пасмурно,-5°,1 м/с,764
12декабрь2020,12:00,пасмурно,-5°,2 м/с,764
12декабрь2020,15:00,пасмурно,-5°,1 м/с,765
12декабрь2020,18:00,пасмурно,-6°,1 м/с,765
12декабрь2020,21:00,пасмурно,-7°,1 м/с,765
12декабрь2020,24:00,пасмурно,-8°,1 м/с,765
11декабрь2020,00:00,пасмурно,+1°,2 м/с,758
11декабрь2020,03:00,пасмурно,+0°,1 м/с,757
11декабрь2020,06:00,пасмурно,+1°,4 м/с,756
11декабрь2020,09:00,пасмурно,+1°,2 м/с,756
11декабрь2020,12:00,пасмурно,+1°,2 м/с,756
11декабрь2020,15:00,пасмурно,+1°,2 м/с,755
11декабрь2020,18:00,пасмурно,+1°,3 м/с,756
11декабрь2020,21:00,пасмурно,-1°,2 м/с,758
11декабрь2020,24:00,ясно,-4°,3 м/с,760
10декабрь2020,00:00,пасмурно,+1°,1 м/с,755
10декабрь2020,03:00,пасмурно,+2°,1 м/с,755
10декабрь2020,06:00,пасмурно,+2°,3 м/с,756
10декабрь2020,09:00,пасмурно,+2°,2 м/с,756
10декабрь2020,12:00,пасмурно,+2°,3 м/с,757
10декабрь2020,15:00,пасмурно,+2°,2 м/с,758
10декабрь2020,18:00,пасмурно,+2°,2 м/с,758
10декабрь2020,21:00,пасмурно,+1°,1 м/с,758
10декабрь2020,24:00,пасмурно,+1°,2 м/с,758
9декабрь2020,00:00,пасмурно,+2°,2 м/с,753
9декабрь2020,03:00,пасмурно,+3°,3 м/с,753
9декабрь2020,06:00,пасмурно,+2°,3 м/с,754
9декабрь2020,09:00,пасмурно,+2°,3 м/с,755
9декабрь2020,12:00,пасмурно,+2°,2 м/с,756
9декабрь2020,15:00,пасмурно,+2°,2 м/с,756
9декабрь2020,18:00,пасмурно,+1°,2 м/с,756
9декабрь2020,21:00,пасмурно,+1°,1 м/с,755
9декабрь2020,24:00,пасмурно,+1°,1 м/с,755
8декабрь2020,00:00,пасмурно,-1°,1 м/с,753
8декабрь2020,03:00,пасмурно,-3°,1 м/с,753
8декабрь2020,06:00,пасмурно,-2°,1 м/с,753
8декабрь2020,09:00,пасмурно,-0°,1 м/с,753
8декабрь2020,12:00,пасмурно,+2°,2 м/с,752
8декабрь2020,15:00,пасмурно,+3°,2 м/с,752
8декабрь2020,18:00,пасмурно,+3°,2 м/с,752
8декабрь2020,21:00,пасмурно,+2°,2 м/с,753
8декабрь2020,24:00,пасмурно,+2°,2 м/с,753
7декабрь2020,00:00,пасмурно,+1°,3 м/с,747
7декабрь2020,03:00,пасмурно,+1°,3 м/с,747
7декабрь2020,06:00,пасмурно,+0°,3 м/с,748
7декабрь2020,09:00,пасмурно,+0°,2 м/с,750
7декабрь2020,12:00,пасмурно,+1°,3 м/с,751
7декабрь2020,15:00,пасмурно,+1°,2 м/с,751
7декабрь2020,18:00,пасмурно,+0°,1 м/с,752
7декабрь2020,21:00,пасмурно,-1°,2 м/с,753
7декабрь2020,24:00,пасмурно,-1°,1 м/с,753
6декабрь2020,00:00,пасмурно,+0°,4 м/с,747
6декабрь2020,03:00,пасмурно,+1°,3 м/с,747
6декабрь2020,06:00,пасмурно,+1°,4 м/с,746
6декабрь2020,09:00,пасмурно,+1°,3 м/с,747
6декабрь2020,12:00,пасмурно,+2°,3 м/с,747
6декабрь2020,15:00,пасмурно,+2°,3 м/с,748
6декабрь2020,18:00,пасмурно,+1°,3 м/с,748
6декабрь2020,21:00,пасмурно,+1°,3 м/с,747
6декабрь2020,24:00,пасмурно,+1°,3 м/с,747
5декабрь2020,00:00,пасмурно,-7°,1 м/с,749
5декабрь2020,03:00,пасмурно,-6°,1 м/с,748
5декабрь2020,06:00,пасмурно,-5°,1 м/с,748
5декабрь2020,09:00,пасмурно,-4°,"<td><span class=""p"">748</span><span>мм рт.ст.</span></td>",748
5декабрь2020,12:00,пасмурно,-3°,2 м/с,749
5декабрь2020,15:00,пасмурно,-2°,2 м/с,749
5декабрь2020,18:00,пасмурно,-1°,2 м/с,749
5декабрь2020,21:00,пасмурно,-1°,4 м/с,748
5декабрь2020,24:00,пасмурно,+0°,4 м/с,747
4декабрь2020,00:00,пасмурно,-6°,2 м/с,755
4декабрь2020,03:00,пасмурно,-6°,1 м/с,754
4декабрь2020,06:00,пасмурно,-7°,2 м/с,753
4декабрь2020,09:00,пасмурно,-8°,1 м/с,752
4декабрь2020,12:00,пасмурно,-7°,1 м/с,752
4декабрь2020,15:00,пасмурно,-8°,"<td><span class=""p"">751</span><span>мм рт.ст.</span></td>",751
4декабрь2020,18:00,пасмурно,-8°,2 м/с,751
4декабрь2020,21:00,пасмурно,-8°,1 м/с,750
4декабрь2020,24:00,пасмурно,-7°,1 м/с,749
3декабрь2020,00:00,пасмурно,-10°,2 м/с,758
3декабрь2020,03:00,пасмурно,-7°,1 м/с,758
3декабрь2020,06:00,малооблачно,-8°,1 м/с,758
3декабрь2020,09:00,пасмурно,-8°,2 м/с,757
3декабрь2020,12:00,пасмурно,-7°,2 м/с,756
3декабрь2020,15:00,пасмурно,-5°,1 м/с,755
3декабрь2020,18:00,пасмурно,-5°,1 м/с,755
3декабрь2020,21:00,пасмурно,-6°,2 м/с,755
3декабрь2020,24:00,пасмурно,-6°,2 м/с,755
2декабрь2020,00:00,пасмурно,-3°,3 м/с,750
2декабрь2020,03:00,пасмурно,-4°,3 м/с,752
2декабрь2020,06:00,пасмурно,-5°,3 м/с,754
2декабрь2020,09:00,пасмурно,-7°,4 м/с,756
2декабрь2020,12:00,пасмурно,-6°,2 м/с,757
2декабрь2020,15:00,ясно,-6°,2 м/с,757
2декабрь2020,18:00,ясно,-9°,1 м/с,758
2декабрь2020,21:00,облачно,-11°,1 м/с,758
2декабрь2020,24:00,пасмурно,-10°,2 м/с,758
1декабрь2020,00:00,пасмурно,-4°,2 м/с,752
1декабрь2020,03:00,пасмурно,-4°,2 м/с,751
1декабрь2020,06:00,пасмурно,-3°,3 м/с,750
1декабрь2020,09:00,пасмурно,-3°,3 м/с,749
1декабрь2020,12:00,пасмурно,-4°,3 м/с,748
1декабрь2020,15:00,пасмурно,-3°,2 м/с,748
1декабрь2020,18:00,пасмурно,-4°,1 м/с,748
1декабрь2020,21:00,пасмурно,-3°,1 м/с,749
1декабрь2020,24:00,пасмурно,-3°,3 м/с,750
29ноябрь2020,00:00,пасмурно,-4°,2 м/с,762
29ноябрь2020,03:00,малооблачно,-6°,2 м/с,762
29ноябрь2020,06:00,малооблачно,-6°,2 м/с,762
29ноябрь2020,09:00,малооблачно,-6°,2 м/с,763
29ноябрь2020,12:00,ясно,-5°,2 м/с,762
29ноябрь2020,15:00,малооблачно,-5°,2 м/с,762
29ноябрь2020,18:00,ясно,-6°,2 м/с,761
29ноябрь2020,21:00,пасмурно,-4°,2 м/с,761
29ноябрь2020,24:00,пасмурно,-4°,4 м/с,759
28ноябрь2020,00:00,малооблачно,-7°,2 м/с,763
28ноябрь2020,03:00,малооблачно,-7°,1 м/с,763
28ноябрь2020,06:00,малооблачно,-7°,2 м/с,763
28ноябрь2020,09:00,малооблачно,-8°,3 м/с,763
28ноябрь2020,12:00,малооблачно,-5°,2 м/с,762
28ноябрь2020,15:00,малооблачно,-5°,2 м/с,762
28ноябрь2020,18:00,пасмурно,-4°,2 м/с,762
28ноябрь2020,21:00,пасмурно,-5°,3 м/с,762
28ноябрь2020,24:00,пасмурно,-4°,2 м/с,762
27ноябрь2020,00:00,малооблачно,-7°,2 м/с,765
27ноябрь2020,03:00,ясно,-9°,1 м/с,764
27ноябрь2020,06:00,ясно,-11°,1 м/с,764
27ноябрь2020,09:00,малооблачно,-10°,"<td><span class=""p"">764</span><span>мм рт.ст.</span></td>",764
27ноябрь2020,12:00,малооблачно,-8°,1 м/с,764
27ноябрь2020,15:00,малооблачно,-8°,1 м/с,763
27ноябрь2020,18:00,малооблачно,-8°,1 м/с,764
27ноябрь2020,21:00,малооблачно,-8°,2 м/с,763
27ноябрь2020,24:00,малооблачно,-7°,2 м/с,763
26ноябрь2020,00:00,малооблачно,-5°,2 м/с,768
26ноябрь2020,03:00,малооблачно,-5°,2 м/с,767
26ноябрь2020,06:00,пасмурно,-6°,1 м/с,767
26ноябрь2020,09:00,малооблачно,-6°,2 м/с,767
26ноябрь2020,12:00,облачно,-4°,2 м/с,766
26ноябрь2020,15:00,пасмурно,-4°,"<td><span class=""p"">766</span><span>мм рт.ст.</span></td>",766
26ноябрь2020,18:00,малооблачно,-6°,1 м/с,765
26ноябрь2020,21:00,малооблачно,-6°,2 м/с,765
26ноябрь2020,24:00,малооблачно,-7°,2 м/с,765
25ноябрь2020,00:00,малооблачно,-11°,1 м/с,772
25ноябрь2020,03:00,малооблачно,-11°,1 м/с,772
25ноябрь2020,06:00,малооблачно,-10°,1 м/с,772
25ноябрь2020,09:00,пасмурно,-9°,1 м/с,771
25ноябрь2020,12:00,пасмурно,-6°,1 м/с,770
25ноябрь2020,15:00,малооблачно,-5°,1 м/с,769
25ноябрь2020,18:00,малооблачно,-5°,1 м/с,769
25ноябрь2020,21:00,малооблачно,-4°,2 м/с,768
25ноябрь2020,24:00,малооблачно,-5°,2 м/с,768
24ноябрь2020,00:00,ясно,-9°,2 м/с,773
24ноябрь2020,03:00,ясно,-10°,2 м/с,774
24ноябрь2020,06:00,ясно,-11°,2 м/с,773
24ноябрь2020,09:00,малооблачно,-11°,2 м/с,773
24ноябрь2020,12:00,малооблачно,-8°,2 м/с,773
24ноябрь2020,15:00,малооблачно,-8°,2 м/с,773
24ноябрь2020,18:00,малооблачно,-8°,2 м/с,773
24ноябрь2020,21:00,малооблачно,-10°,"<td><span class=""p"">773</span><span>мм рт.ст.</span></td>",773
24ноябрь2020,24:00,малооблачно,-11°,1 м/с,772
23ноябрь2020,00:00,ясно,-8°,3 м/с,776
23ноябрь2020,03:00,ясно,-9°,3 м/с,776
23ноябрь2020,06:00,ясно,-9°,3 м/с,775
23ноябрь2020,09:00,ясно,-9°,3 м/с,775
23ноябрь2020,12:00,ясно,-6°,2 м/с,774
23ноябрь2020,15:00,ясно,-5°,3 м/с,774
23ноябрь2020,18:00,ясно,-6°,2 м/с,774
23ноябрь2020,21:00,ясно,-8°,2 м/с,774
23ноябрь2020,24:00,ясно,-9°,2 м/с,773
22ноябрь2020,00:00,ясно,-10°,3 м/с,780
22ноябрь2020,03:00,ясно,-10°,3 м/с,779
22ноябрь2020,06:00,ясно,-10°,3 м/с,779
22ноябрь2020,09:00,ясно,-10°,3 м/с,779
22ноябрь2020,12:00,малооблачно,-8°,3 м/с,778
22ноябрь2020,15:00,ясно,-7°,2 м/с,778
22ноябрь2020,18:00,ясно,-7°,3 м/с,777
22ноябрь2020,21:00,ясно,-8°,2 м/с,777
22ноябрь2020,24:00,ясно,-8°,3 м/с,776
21ноябрь2020,00:00,ясно,-14°,1 м/с,784
21ноябрь2020,03:00,ясно,-14°,1 м/с,784
21ноябрь2020,06:00,ясно,-15°,"<td><span class=""p"">784</span><span>мм рт.ст.</span></td>",784
21ноябрь2020,09:00,ясно,-13°,"<td><span class=""p"">784</span><span>мм рт.ст.</span></td>",784
21ноябрь2020,12:00,ясно,-9°,2 м/с,783
21ноябрь2020,15:00,ясно,-8°,2 м/с,782
21ноябрь2020,18:00,ясно,-9°,1 м/с,782
21ноябрь2020,21:00,ясно,-9°,2 м/с,780
21ноябрь2020,24:00,ясно,-10°,3 м/с,780
20ноябрь2020,00:00,ясно,-13°,4 м/с,777
20ноябрь2020,03:00,ясно,-14°,2 м/с,779
20ноябрь2020,06:00,ясно,-16°,2 м/с,780
20ноябрь2020,09:00,ясно,-15°,3 м/с,781
20ноябрь2020,12:00,ясно,-12°,2 м/с,782
20ноябрь2020,15:00,ясно,-12°,1 м/с,782
20ноябрь2020,18:00,ясно,-13°,2 м/с,783
20ноябрь2020,21:00,ясно,-14°,2 м/с,783
20ноябрь2020,24:00,ясно,-14°,1 м/с,784
19ноябрь2020,00:00,пасмурно,+3°,1 м/с,765
19ноябрь2020,03:00,пасмурно,+2°,1 м/с,766
19ноябрь2020,06:00,пасмурно,+1°,2 м/с,767
19ноябрь2020,09:00,пасмурно,-0°,3 м/с,768
19ноябрь2020,12:00,пасмурно,-2°,3 м/с,770
19ноябрь2020,15:00,пасмурно,-4°,4 м/с,772
19ноябрь2020,18:00,ясно,-8°,2 м/с,774
19ноябрь2020,21:00,ясно,-11°,3 м/с,776
19ноябрь2020,24:00,ясно,-13°,4 м/с,777
18ноябрь2020,00:00,пасмурно,+2°,1 м/с,767
18ноябрь2020,03:00,пасмурно,+1°,1 м/с,767
18ноябрь2020,06:00,пасмурно,+2°,"<td><span class=""p"">766</span><span>мм рт.ст.</span></td>",766
18ноябрь2020,09:00,пасмурно,+2°,1 м/с,765
18ноябрь2020,12:00,пасмурно,+3°,2 м/с,764
18ноябрь2020,15:00,пасмурно,+3°,2 м/с,763
18ноябрь2020,18:00,пасмурно,+4°,3 м/с,763
18ноябрь2020,21:00,пасмурно,+4°,1 м/с,764
18ноябрь2020,24:00,пасмурно,+3°,1 м/с,765
17ноябрь2020,00:00,ясно,+3°,2 м/с,767
17ноябрь2020,03:00,малооблачно,+1°,2 м/с,767
17ноябрь2020,06:00,пасмурно,+1°,3 м/с,766
17ноябрь2020,09:00,пасмурно,+1°,2 м/с,767
17ноябрь2020,12:00,пасмурно,+2°,2 м/с,767
17ноябрь2020,15:00,пасмурно,+2°,1 м/с,768
17ноябрь2020,18:00,пасмурно,+2°,2 м/с,768
17ноябрь2020,21:00,пасмурно,+2°,1 м/с,768
17ноябрь2020,24:00,пасмурно,+2°,1 м/с,767
16ноябрь2020,00:00,ясно,-2°,1 м/с,772
16ноябрь2020,03:00,ясно,-2°,1 м/с,772
16ноябрь2020,06:00,ясно,-3°,1 м/с,772
16ноябрь2020,09:00,малооблачно,-2°,"<td><span class=""p"">771</span><span>мм рт.ст.</span></td>",771
16ноябрь2020,12:00,пасмурно,+0°,3 м/с,771
16ноябрь2020,15:00,малооблачно,+2°,1 м/с,770
16ноябрь2020,18:00,малооблачно,+2°,1 м/с,769
16ноябрь2020,21:00,малооблачно,+2°,1 м/с,768
16ноябрь2020,24:00,ясно,+3°,2 м/с,767
15ноябрь2020,00:00,пасмурно,-1°,1 м/с,772
15ноябрь2020,03:00,пасмурно,-1°,1 м/с,772
15ноябрь2020,06:00,пасмурно,-2°,1 м/с,772
15ноябрь2020,09:00,пасмурно,-2°,2 м/с,772
15ноябрь2020,12:00,малооблачно,+2°,1 м/с,772
15ноябрь2020,15:00,малооблачно,+1°,1 м/с,772
15ноябрь2020,18:00,ясно,-1°,1 м/с,772
15ноябрь2020,21:00,ясно,-1°,1 м/с,772
15ноябрь2020,24:00,ясно,-2°,1 м/с,772
14ноябрь2020,00:00,пасмурно,+1°,2 м/с,769
14ноябрь2020,03:00,пасмурно,+0°,1 м/с,770
14ноябрь2020,06:00,пасмурно,-1°,1 м/с,771
14ноябрь2020,09:00,пасмурно,-1°,2 м/с,771
14ноябрь2020,12:00,пасмурно,-0°,1 м/с,772
14ноябрь2020,15:00,пасмурно,+0°,1 м/с,772
14ноябрь2020,18:00,пасмурно,-0°,1 м/с,772
14ноябрь2020,21:00,пасмурно,-0°,1 м/с,772
14ноябрь2020,24:00,пасмурно,-1°,1 м/с,772
13ноябрь2020,00:00,пасмурно,+6°,3 м/с,759
13ноябрь2020,03:00,пасмурно,+5°,4 м/с,760
13ноябрь2020,06:00,пасмурно,+5°,3 м/с,761
13ноябрь2020,09:00,пасмурно,+4°,3 м/с,764
13ноябрь2020,12:00,пасмурно,+3°,3 м/с,765
13ноябрь2020,15:00,пасмурно,+3°,2 м/с,766
13ноябрь2020,18:00,пасмурно,+3°,2 м/с,768
13ноябрь2020,21:00,пасмурно,+2°,2 м/с,769
13ноябрь2020,24:00,пасмурно,+1°,2 м/с,769
12ноябрь2020,00:00,пасмурно,-0°,1 м/с,760
12ноябрь2020,03:00,пасмурно,+0°,1 м/с,759
12ноябрь2020,06:00,пасмурно,+0°,1 м/с,758
12ноябрь2020,09:00,пасмурно,+1°,1 м/с,758
12ноябрь2020,12:00,пасмурно,+2°,1 м/с,758
12ноябрь2020,15:00,пасмурно,+3°,1 м/с,757
12ноябрь2020,18:00,пасмурно,+5°,2 м/с,757
12ноябрь2020,21:00,пасмурно,+6°,2 м/с,758
12ноябрь2020,24:00,пасмурно,+6°,3 м/с,759
11ноябрь2020,00:00,пасмурно,+0°,2 м/с,766
11ноябрь2020,03:00,пасмурно,+1°,2 м/с,766
11ноябрь2020,06:00,пасмурно,+1°,2 м/с,765
11ноябрь2020,09:00,пасмурно,+1°,2 м/с,765
11ноябрь2020,12:00,пасмурно,+1°,2 м/с,764
11ноябрь2020,15:00,пасмурно,+2°,1 м/с,763
11ноябрь2020,18:00,пасмурно,+2°,1 м/с,762
11ноябрь2020,21:00,пасмурно,+1°,2 м/с,761
11ноябрь2020,24:00,пасмурно,-0°,1 м/с,760
10ноябрь2020,00:00,пасмурно,-4°,1 м/с,771
10ноябрь2020,03:00,пасмурно,-2°,1 м/с,770
10ноябрь2020,06:00,пасмурно,-3°,1 м/с,769
10ноябрь2020,09:00,пасмурно,-2°,1 м/с,768
10ноябрь2020,12:00,пасмурно,-1°,1 м/с,768
10ноябрь2020,15:00,пасмурно,-1°,1 м/с,768
10ноябрь2020,18:00,пасмурно,-1°,1 м/с,768
